county,fips,enroll,ma,om,dual,a75,a85,ffs_benes,alf_fac,alf_bed,mc_fac,mc_bed,nh_fac,nh_bed,nh_res,ma_pct,dual_pct,enroll_p,a75_p,g5_enroll,g5_a75,avg_age,feml_pct,wht_pct,blk_pct,hsp_pct,pc,pc_std,tot_amt,ip_pct,ip_stays,ip_days,ip_per_user,readmit,er,er_pct,op_pct,op_visits,snf_pct,snf_stays,snf_days,snf_per_user,irf_pct,irf_stays,ltch_pct,ltch_stays,hh_pct,hh_eps,hh_visits,hh_per_user,hospc_pct,hospc_stays,hospc_days,em_pct,em_events,dme_pct,dme_events,tests_pct,imgng_pct,fqhc_pct,fqhc_visits,amblnc_pct,amblnc_events,pc_ip,pc_op,pc_asc,pc_snf,pc_irf,pc_ltch,pc_hh,pc_hospc,pc_em,pc_prcdrs,pc_tests,pc_imgng,pc_dme,pc_op_dlys,pc_fqhc_rhc,pc_amblnc,pc_trtmnts,home_pc,acute_pc,inst_pc,eol_pc,sl_bed,sl_fac,sl_per1k,nh_per1k,per_bed,mc_share,nh_occ,bed_gap
Jefferson,01073,139021,92016,47006,27496,52038,12838,34085,15,914,13,552,34,3963,3326.4,0.6619,0.1978,132494,43630,0.0493,0.1927,73.0,0.5584,0.6998,0.2597,0.0091,13521.24,13901.91,460871345.0,0.1534,242.5994,1447.4989,23935.81,0.1842,599.0025,0.3084,0.6047,3262.3735,0.0303,40.135,1115.7987,15579.43,0.02,23.1774,0.0009,1.0562,0.1065,351.0342,2621.417,5388.61,0.0422,44.9758,3954.0267,0.89,16425.2604,0.2545,1466.5102,0.7998,0.7581,0.0348,272.7593,0.1308,312.8649,3670.6,2080.45,144.04,472.62,514.65,51.94,574.04,648.17,1153.89,486.05,394.93,300.04,775.5,268.99,60.81,118.96,1655.53,4914.74,6769.09,1039.21,648.17,1466,28,28.17,63.92,35.5,0.3765,0.8394,-128
Mobile,01097,90023,62761,27261,20553,32602,7667,20998,8,429,9,327,17,1975,1599.3,0.6972,0.2283,85210,27634,0.0565,0.1798,72.0,0.5381,0.7499,0.2055,0.0102,13358.86,14096.74,280509261.0,0.1702,272.9308,1807.8388,21940.47,0.1847,616.3444,0.3044,0.5825,2821.3163,0.039,51.1954,1308.8866,14127.65,0.0091,9.8105,0.0043,4.3814,0.1014,329.9362,2447.9474,5065.25,0.0472,52.2431,5027.3836,0.8867,17616.011,0.2729,1662.2535,0.8418,0.7648,0.0912,394.8471,0.1555,382.6079,3733.37,2008.22,181.52,550.36,227.38,173.87,513.57,836.51,1261.43,474.75,411.71,358.03,700.0,286.27,64.63,141.72,1294.94,4604.31,6825.85,951.61,836.51,756,17,23.19,49.06,43.1,0.4325,0.8098,82
Madison,01089,78966,35973,42993,9547,31149,8422,34495,17,1006,13,522,12,1267,1100.2,0.4556,0.1209,67832,25465,0.1641,0.2232,74.0,0.5554,0.8117,0.1321,0.0151,12658.02,13485.68,436638500.0,0.1449,222.641,1341.0639,19802.5,0.1646,545.6153,0.2869,0.7659,4302.8265,0.0354,48.7317,1152.196,14545.94,0.0176,19.9739,0.0019,2.0583,0.0814,255.0515,1716.6546,5028.6,0.0376,40.3827,3162.4873,0.9305,16557.2112,0.2635,1493.6657,0.8358,0.7991,0.0438,594.463,0.1466,370.0826,2870.34,1734.37,154.61,514.45,422.52,82.61,409.34,520.82,1193.02,486.34,381.39,317.02,764.3,161.7,147.67,139.49,2232.8,5445.54,5546.85,1019.58,520.82,1528,30,49.05,35.32,20.4,0.3416,0.8684,-727
Baldwin,01003,65644,37656,27988,6739,26959,5837,23801,12,703,4,208,7,772,548.9,0.5736,0.1027,55765,20076,0.1772,0.3428,74.0,0.5483,0.934,0.0256,0.0126,12382.07,12887.13,294705726.0,0.1448,218.7723,1127.4316,20793.89,0.1526,627.8308,0.3249,0.7073,3624.3015,0.0303,39.9983,968.2786,14490.64,0.0092,10.2097,0.002,2.1848,0.1112,335.112,2375.1523,4618.13,0.0405,43.6956,3887.7358,0.9353,16649.9727,0.2708,1536.9102,0.8774,0.8086,0.0235,99.6177,0.1345,292.5087,3010.62,2278.28,219.15,439.57,248.85,85.43,513.41,645.47,1192.63,618.41,422.23,329.63,547.02,107.63,14.99,138.89,1467.59,4487.5,6372.98,773.85,645.47,911,16,33.79,20.36,29.6,0.2283,0.711,-218
Montgomery,01101,46096,28849,17247,11120,16399,4029,12978,7,247,5,144,8,1081,894.1,0.6258,0.2412,43726,13965,0.0542,0.1743,72.0,0.5514,0.5773,0.3734,0.0087,11057.55,11598.47,143504935.0,0.14,226.1519,1397.5959,21731.16,0.1965,546.078,0.2693,0.7151,4273.3087,0.0212,27.1999,757.975,15770.06,0.0237,26.6605,,,0.0833,262.3671,2018.724,5180.97,0.0329,35.6758,2899.4452,0.8878,14107.4896,0.2313,1337.7254,0.8071,0.7417,0.0411,157.7285,0.1208,285.9454,3042.5,2362.5,142.45,334.16,592.19,,431.55,482.82,1022.45,459.79,374.22,186.0,345.81,291.71,24.28,111.0,723.48,3107.79,6409.95,926.35,482.82,391,12,23.84,54.52,41.9,0.3683,0.8271,31
Shelby,01117,44320,26925,17395,3724,18201,4055,13370,10,431,7,250,3,392,372.4,0.6075,0.084,38904,13710,0.1392,0.3276,74.0,0.5663,0.8907,0.0637,0.0132,13156.05,13898.12,175896385.0,0.147,224.3082,1193.7921,20961.23,0.1739,557.7412,0.2951,0.6071,3020.4188,0.0217,27.3747,660.6582,13239.9,0.0275,31.264,,,0.1046,317.1279,2352.0568,4972.24,0.0413,44.1286,3750.187,0.936,17441.3613,0.2769,1548.2423,0.8597,0.8093,0.0185,101.4959,0.1276,268.736,3080.69,2034.55,195.43,287.18,626.79,,519.91,613.63,1234.66,621.57,444.16,354.61,811.4,130.37,19.27,111.23,1903.03,5287.04,6173.84,913.97,613.63,681,17,37.42,20.46,26.7,0.3671,0.95,-213
Tuscaloosa,01125,38322,22654,15668,7356,13630,3107,12657,8,433,6,232,6,903,763.3,0.5911,0.192,36961,11292,0.0368,0.207,71.0,0.5474,0.7728,0.1932,0.0077,13287.66,13427.63,168181866.0,0.1625,265.4658,1680.73,24928.11,0.2024,551.2365,0.2824,0.5621,3135.9722,0.0389,48.9057,1214.4268,14122.8,0.0164,18.1718,0.0028,3.0023,0.1187,397.9616,2818.2824,5411.81,0.0367,38.8718,3091.1748,0.9053,16644.4655,0.2918,1725.9224,0.8386,0.782,0.0472,214.0318,0.1463,383.0292,4051.29,2306.63,191.39,548.98,403.45,108.9,642.64,544.76,1186.02,532.01,394.56,297.09,413.89,234.32,35.0,141.94,1143.19,4112.39,7457.58,1061.33,544.76,665,14,48.79,56.0,20.5,0.3489,0.8453,-314
Lee,01081,29605,16768,12837,4476,10973,2468,10554,5,256,5,176,2,312,199.0,0.5664,0.1512,25300,8067,0.1702,0.3602,72.0,0.5413,0.8003,0.154,0.0143,10568.7,11025.21,111542055.0,0.1316,191.7756,1019.8029,20148.05,0.1672,526.7197,0.2807,0.6782,4107.1632,0.0187,21.9822,486.7349,11675.45,0.0209,24.4457,,,0.0817,265.4918,1949.4978,4893.36,0.0352,36.4791,3172.5412,0.9184,14183.8166,0.2668,1584.9915,0.8293,0.759,0.0206,107.9212,0.128,314.9517,2651.66,2523.92,156.26,217.93,553.1,,399.67,531.09,990.45,458.27,340.41,228.44,414.76,165.94,19.6,121.34,708.57,3101.9,6077.39,771.03,531.09,432,10,39.37,18.14,25.4,0.4074,0.6378,-150
Calhoun,01015,28267,15744,12523,5857,9898,2223,10697,4,164,4,163,5,667,556.2,0.557,0.2072,26998,8531,0.047,0.1602,72.0,0.5474,0.8443,0.1166,0.012,12567.62,13525.14,134435811.0,0.169,273.4412,1538.4687,20748.32,0.2028,549.5933,0.2798,0.6337,3060.8582,0.0442,59.3624,1317.5657,12221.86,0.0134,14.5835,0.0037,3.8329,0.1424,490.6983,3552.0239,4869.82,0.041,44.031,4104.8892,0.9123,16695.5221,0.2867,1821.8192,0.8636,0.7761,0.0435,225.2968,0.1499,438.2537,3506.87,1798.52,138.62,540.43,304.48,111.29,693.35,643.45,1189.97,482.54,479.7,265.25,487.78,159.14,43.76,167.95,1498.58,4658.39,6253.64,956.2,643.45,327,8,33.04,56.19,30.3,0.4985,0.8339,-72
Morgan,01103,27856,14843,13013,4391,10796,2600,11516,6,190,2,78,4,634,505.1,0.5328,0.1576,26371,9336,0.0563,0.1564,74.0,0.5503,0.9106,0.0561,0.0136,12776.69,13847.87,147136319.0,0.1597,244.0083,1414.4668,18481.53,0.1706,558.7878,0.2937,0.6718,3210.6634,0.0464,59.3088,1548.628,14060.57,0.0098,10.9413,0.0011,1.3894,0.1049,360.5419,2662.9038,5118.61,0.0495,52.7093,5900.2258,0.9256,15590.396,0.2758,1828.9337,0.8686,0.783,0.0903,1056.6169,0.155,373.133,2951.33,1488.22,173.36,651.99,250.4,54.5,536.93,920.4,1101.99,454.89,423.45,269.14,628.75,134.99,236.41,161.01,2218.07,5414.74,5363.8,956.89,920.4,268,8,24.82,46.79,40.3,0.291,0.7967,10
