county,fips,enroll,ma,om,dual,a75,a85,ffs_benes,nh_fac,nh_bed,nh_res,sl_bed,mc_bed,alf_bed,alf_fac,mc_fac,sl_fac,pch_bed,pch_fac,ma_pct,dual_pct,enroll_p,a75_p,g5_enroll,g5_a75,avg_age,feml_pct,wht_pct,blk_pct,hsp_pct,pc,pc_std,tot_amt,ip_pct,ip_stays,ip_days,ip_per_user,readmit,er,er_pct,op_pct,op_visits,snf_pct,snf_stays,snf_days,snf_per_user,irf_pct,irf_stays,ltch_pct,ltch_stays,hh_pct,hh_eps,hh_visits,hh_per_user,hospc_pct,hospc_stays,hospc_days,em_pct,em_events,dme_pct,dme_events,tests_pct,imgng_pct,fqhc_pct,fqhc_visits,amblnc_pct,amblnc_events,pc_ip,pc_op,pc_asc,pc_snf,pc_irf,pc_ltch,pc_hh,pc_hospc,pc_em,pc_prcdrs,pc_tests,pc_imgng,pc_dme,pc_op_dlys,pc_fqhc_rhc,pc_amblnc,pc_trtmnts,home_pc,acute_pc,inst_pc,eol_pc,sl_per1k,nh_per1k,per_bed,mc_share,nh_occ,bed_gap
Jefferson,21111,161217,80431,80786,23496,62451,15569,65411,39,4024,3542.3,2558,621,1937,35,24,59,116,3,0.4989,0.1457,150076,52162,0.0742,0.1973,74.0,0.5561,0.8523,0.0869,0.0099,12716.52,13040.15,831800505.0,0.1546,248.2916,1278.1948,20370.88,0.1846,612.0683,0.3126,0.7129,4397.4408,0.0425,56.81,1347.9843,16827.64,0.0149,17.6729,0.0011,1.2383,0.0821,211.0348,1563.1774,4603.61,0.028,28.6038,1476.4795,0.931,16636.636,0.3068,2020.1954,0.8854,0.7869,0.0167,60.0511,0.1405,295.2561,3148.55,3017.0,190.5,714.93,399.57,55.86,377.73,299.42,1213.32,506.03,431.58,179.15,793.26,191.77,8.01,111.47,894.7,3897.75,7165.32,1170.36,299.42,40.96,56.72,24.4,0.2428,0.8803,-868
Fayette,21067,55257,29608,25649,7170,22406,5468,19957,12,1303,1203.7,948,249,699,12,10,22,110,3,0.5358,0.1298,50479,17880,0.0947,0.2531,73.0,0.5563,0.8655,0.0717,0.0126,12232.24,12285.13,244118761.0,0.1414,227.9902,1332.6652,21761.64,0.1969,596.9334,0.2856,0.712,4788.6957,0.0358,48.0032,1298.4918,18857.0,0.0283,33.7726,0.0008,0.9019,0.0802,235.356,1733.7275,5217.33,0.0269,27.7096,1391.141,0.9247,16153.1292,0.2825,1827.2285,0.8395,0.781,0.0343,136.0926,0.1408,345.0418,3076.09,2539.27,324.49,675.59,784.23,43.53,418.55,286.24,1199.7,481.08,355.46,215.28,478.16,144.62,18.67,127.02,813.44,3499.26,6692.57,1503.35,286.24,42.31,53.72,23.6,0.2627,0.9238,-342
Kenton,21117,32320,18086,14234,3826,12120,2892,11244,8,769,715.1,437,106,331,5,4,9,134,3,0.5596,0.1184,29467,9719,0.0968,0.247,73.0,0.5383,0.9393,0.0172,0.0044,13863.04,14248.77,155876050.0,0.1614,270.0996,1416.3999,22188.44,0.1889,611.2593,0.2993,0.8508,6389.8079,0.0398,60.8324,1452.4191,19097.33,0.0345,45.4465,0.0023,2.846,0.0733,228.2106,1683.3867,5687.8,0.0269,27.7481,1314.5678,0.9311,16641.9424,0.2728,1610.37,0.7319,0.7802,0.0158,65.0125,0.1451,382.693,3581.64,3182.03,220.81,759.21,1023.39,153.5,416.82,267.39,1143.53,534.26,260.02,170.14,681.44,109.57,9.99,136.69,1025.09,3707.03,7765.0,1936.1,267.39,36.06,59.0,27.7,0.2426,0.9299,-109
Boone,21015,25659,14172,11487,2214,9989,2221,9056,3,444,393.0,577,115,462,6,6,12,0,0,0.5523,0.0863,21597,7244,0.1881,0.3789,73.0,0.5473,0.9303,0.0157,0.0119,13695.06,14216.7,124022432.0,0.1675,271.7535,1423.3657,20709.7,0.1952,611.4178,0.3058,0.8486,6300.3534,0.0394,55.7641,1411.7712,18886.19,0.0348,45.6051,0.002,2.2085,0.0734,226.4797,1631.2942,5508.16,0.0295,30.3666,1479.5716,0.9353,16920.9364,0.282,1745.4726,0.7483,0.7879,0.0116,44.1696,0.1495,381.1837,3469.15,3453.55,223.59,744.52,1026.89,73.18,404.48,293.33,1154.85,544.05,273.36,173.0,442.78,119.04,5.91,141.14,970.44,3424.82,7950.52,1844.59,293.33,57.76,39.34,17.3,0.1993,0.8851,-307
Warren,21227,24245,12462,11783,4066,8921,2017,10042,7,567,511.0,508,93,415,6,4,10,114,1,0.514,0.1677,21246,7143,0.1412,0.2489,73.0,0.5396,0.915,0.0429,0.0099,12293.67,12518.16,123453028.0,0.1557,241.9837,1290.3804,20478.86,0.1873,585.6403,0.2863,0.6262,3087.134,0.0415,60.6453,1607.3491,20681.44,0.0269,32.862,0.0027,2.7883,0.0746,238.7971,1809.6993,5555.04,0.0344,34.8536,1740.5895,0.9286,16251.9418,0.3038,1732.4238,0.8682,0.7572,0.0481,255.3276,0.1419,353.3161,3189.5,2001.36,167.46,858.81,745.01,99.3,414.33,364.37,1146.32,502.19,475.61,208.78,444.68,124.04,60.98,155.09,1162.97,3913.67,6139.64,1703.12,364.37,56.94,57.28,17.6,0.1831,0.9012,-267
Daviess,21059,23744,11794,11950,3717,9049,2259,10603,7,653,538.8,355,47,308,5,2,7,210,3,0.4967,0.1565,22218,7657,0.0687,0.1818,73.0,0.5454,0.9474,0.0215,0.005,12488.38,12370.9,132414337.0,0.1418,211.1667,935.3956,22725.95,0.166,537.3951,0.285,0.7896,4729.8878,0.0374,47.8167,1355.3711,17777.27,0.015,16.3161,0.0013,1.4147,0.0772,232.4814,1697.1612,5126.88,0.0308,31.7835,1627.181,0.9506,16214.4676,0.2998,1776.2897,0.8433,0.787,0.022,142.5068,0.1358,290.7668,3223.6,3338.89,156.28,665.62,385.11,53.85,396.01,322.67,1132.6,513.51,395.48,196.57,488.85,129.56,44.2,122.31,650.55,3304.26,7484.15,1104.58,322.67,39.23,59.54,25.5,0.1324,0.8251,-110
Hardin,21093,23618,10366,13252,3324,8113,1932,11517,7,602,493.5,271,35,236,6,3,9,20,1,0.4389,0.1407,20670,6616,0.1426,0.2263,72.0,0.5398,0.8389,0.0916,0.0221,11408.98,11791.07,131397248.0,0.1368,219.8489,1231.8312,19432.25,0.1842,581.9224,0.2942,0.7877,5332.0309,0.0352,46.974,1345.2288,19093.65,0.0168,20.0573,,,0.0822,263.6103,1846.0537,5378.16,0.0203,20.5783,1067.726,0.9224,16637.3187,0.2978,2134.931,0.8,0.7724,0.0503,172.7881,0.1285,288.7905,2657.44,2975.06,112.89,671.44,431.66,,442.23,197.7,1175.01,437.87,352.7,158.98,639.14,141.75,23.07,121.54,757.74,3548.87,6446.55,1103.1,197.7,33.4,60.83,29.9,0.1292,0.8198,-51
Campbell,21037,19320,10667,8653,1918,7396,1758,7031,5,515,479.1,176,16,160,2,1,3,0,0,0.5521,0.0993,17387,6059,0.1112,0.2207,73.0,0.5459,0.9467,0.01,0.0053,12407.49,12794.42,87237061.0,0.1449,239.0841,1114.7774,21011.99,0.1872,573.0337,0.2946,0.7993,5799.3173,0.0393,57.8865,1373.6311,17863.61,0.0235,30.01,,,0.07,214.4787,1559.8066,5488.31,0.0273,27.7343,1889.3472,0.9327,15212.772,0.2718,1620.2532,0.7928,0.7868,0.0165,67.7002,0.1188,263.8316,3045.26,3135.69,184.9,701.23,681.35,,384.05,355.6,1048.22,515.8,265.05,158.6,641.43,104.58,12.45,101.09,770.63,3280.43,7087.32,1382.58,355.6,23.8,64.78,42.0,0.0909,0.9303,24
Madison,21151,19117,11210,7907,3303,6991,1509,6470,5,397,368.7,248,0,248,4,1,5,0,0,0.5864,0.1728,17035,5517,0.1222,0.2672,72.0,0.5349,0.9394,0.0233,0.0087,11949.56,12215.59,77313672.0,0.1402,227.6662,1148.068,21091.13,0.2026,697.8362,0.3255,0.7202,4364.7604,0.0388,53.1685,1347.4498,21350.68,0.0155,16.847,,,0.0879,252.8594,1783.4621,4821.25,0.0308,31.5301,1399.0726,0.8821,13242.3493,0.3206,2302.1638,0.8227,0.7427,0.4954,2164.1422,0.1495,401.7002,2956.67,2746.39,193.74,828.29,400.08,,424.0,279.72,982.42,445.19,417.37,187.9,645.21,176.99,243.23,175.06,664.45,3564.58,6694.04,1228.37,279.72,35.47,52.74,28.2,0.0,0.9287,-59
Pulaski,21199,18059,10428,7632,3917,6547,1588,6705,4,394,332.0,169,32,137,3,1,4,0,0,0.5774,0.2169,17037,5536,0.06,0.1826,72.0,0.5315,0.965,0.0116,0.006,11036.4,11144.81,73999047.0,0.1369,207.308,1035.4959,20502.48,0.1752,593.736,0.306,0.7818,4681.4318,0.0324,40.7159,1358.9858,20316.57,0.0189,20.5817,,,0.0884,289.4855,2000.0,5261.56,0.0349,35.7942,1580.0149,0.8583,10788.516,0.3432,2532.8859,0.7888,0.7238,0.63,2523.7882,0.1239,288.7397,2807.05,1909.96,204.77,657.52,499.13,,465.34,325.4,754.14,487.06,379.37,184.74,700.71,102.44,287.38,177.39,876.62,3648.3,5688.67,1156.65,325.4,25.81,50.71,38.7,0.1893,0.8426,8
