county,fips,enroll,ma,om,dual,a75,a85,ffs_benes,nh_fac,nh_bed,nh_res,sl_bed,mc_bed,alf_bed,alf_fac,mc_fac,sl_fac,pch_bed,pch_fac,ma_pct,dual_pct,enroll_p,a75_p,g5_enroll,g5_a75,avg_age,feml_pct,wht_pct,blk_pct,hsp_pct,pc,pc_std,tot_amt,ip_pct,ip_stays,ip_days,ip_per_user,readmit,er,er_pct,op_pct,op_visits,snf_pct,snf_stays,snf_days,snf_per_user,irf_pct,irf_stays,ltch_pct,ltch_stays,hh_pct,hh_eps,hh_visits,hh_per_user,hospc_pct,hospc_stays,hospc_days,em_pct,em_events,dme_pct,dme_events,tests_pct,imgng_pct,fqhc_pct,fqhc_visits,amblnc_pct,amblnc_events,pc_ip,pc_op,pc_asc,pc_snf,pc_irf,pc_ltch,pc_hh,pc_hospc,pc_em,pc_prcdrs,pc_tests,pc_imgng,pc_dme,pc_op_dlys,pc_fqhc_rhc,pc_amblnc,pc_trtmnts,home_pc,acute_pc,inst_pc,eol_pc,sl_per1k,nh_per1k,per_bed,mc_share,nh_occ,bed_gap
St. Louis,29189,225818,128116,97703,24343,95192,25524,78679,69,9380,6458.1,4745,1181,3564,64,40,64,0,0,0.5673,0.1078,207264,81403,0.0895,0.1694,74.0,0.5664,0.8148,0.1171,0.0102,13571.21,13412.48,1067769161.0,0.1636,271.6354,1456.4623,22158.53,0.1965,638.544,0.311,0.7719,6149.7985,0.0361,51.7546,1274.2409,18160.27,0.0259,30.9612,0.001,1.093,0.0814,186.1361,1455.2549,4481.76,0.0341,35.8037,2598.3299,0.9371,15828.1498,0.2547,1525.2482,0.843,0.7999,0.0156,72.5734,0.1374,315.0142,3625.73,2877.25,198.3,655.98,764.71,50.09,365.02,483.81,1186.91,514.49,406.1,185.15,519.88,243.36,8.83,121.84,1115.33,3787.22,7580.97,1470.78,483.81,49.85,67.84,20.1,0.2489,0.6885,290
Jackson,29095,135099,75470,59629,20499,51951,13266,46371,39,4605,3493.7,2221,557,1664,40,14,40,0,0,0.5586,0.1517,126042,44484,0.0719,0.1679,72.0,0.5573,0.8038,0.1294,0.0285,13582.58,13470.96,629837627.0,0.1658,274.0722,1436.5444,23188.36,0.1946,688.1672,0.3233,0.6713,5190.2482,0.0418,58.5711,1463.9538,18410.51,0.02,23.3551,0.001,1.0567,0.0806,198.8959,1608.3975,4790.73,0.0369,39.5721,2992.1934,0.9027,15284.7469,0.2472,1708.1797,0.7909,0.7589,0.0345,182.6141,0.1282,265.4676,3844.47,2830.07,298.83,770.23,558.0,43.13,386.18,547.33,1084.47,469.28,317.44,202.7,427.62,242.05,22.21,109.8,1132.98,3573.6,7794.5,1371.36,547.33,42.75,67.25,23.4,0.2508,0.7587,527
St. Charles,29183,85371,51263,34109,5551,34736,8641,27774,15,1484,1109.0,2248,635,1613,29,19,29,0,0,0.6005,0.065,72046,27284,0.185,0.2731,73.0,0.5593,0.9188,0.0305,0.0111,13485.32,13464.84,374541201.0,0.1626,263.6279,1372.9747,21003.82,0.178,647.6201,0.3207,0.8279,7492.475,0.0324,44.9701,1075.1422,16792.56,0.0288,35.5728,0.0009,0.9361,0.0858,194.7865,1574.3141,4473.58,0.0329,34.0606,2355.9804,0.9425,15638.4028,0.2837,1751.5302,0.8529,0.8048,0.0255,149.7804,0.1443,323.288,3415.18,3163.8,222.35,544.76,904.71,42.92,383.99,443.22,1162.76,584.21,388.49,184.29,453.44,172.75,18.03,133.54,1074.61,3665.61,7691.83,1492.39,443.22,64.72,31.93,15.5,0.2825,0.7473,-411
Greene,29077,64300,39184,25116,9358,26518,6950,21596,21,2321,1894.3,1413,348,1065,24,9,24,0,0,0.6094,0.1455,59624,22280,0.0784,0.1902,72.0,0.5528,0.9401,0.0139,0.0116,11318.03,11715.12,244424182.0,0.1462,223.0043,1201.8429,20630.18,0.1808,518.9387,0.2648,0.7591,6261.1132,0.0381,51.7225,1257.5014,15233.52,0.013,14.2619,0.0009,0.9724,0.0619,150.4445,1185.2658,4049.56,0.0316,33.0617,2653.0839,0.9158,12277.644,0.281,1794.1748,0.8639,0.7649,0.0963,619.0035,0.0115,25.0046,3015.81,3216.65,51.16,579.83,303.28,47.95,250.71,434.79,883.18,427.91,331.68,153.04,407.68,150.48,76.25,13.47,768.34,2870.88,6875.48,931.06,434.79,53.28,71.43,18.8,0.2463,0.8162,-10
Jefferson,29099,48983,32672,16312,4874,17627,3758,13686,11,1353,1013.6,580,68,512,13,3,13,0,0,0.667,0.0995,44660,14339,0.0968,0.2293,71.0,0.5342,0.9554,0.0067,0.0107,13177.4,13249.58,180345870.0,0.1681,281.7478,1372.8628,21483.84,0.2001,651.4687,0.3181,0.7153,4886.0149,0.0354,49.8319,1208.9727,18141.33,0.0237,28.0579,0.0012,1.6075,0.0739,175.2155,1384.2613,4714.52,0.0319,33.611,2680.6225,0.92,14792.4156,0.2728,1930.6591,0.8493,0.7715,0.0664,410.5655,0.1504,334.6485,3610.47,2861.59,221.73,642.89,693.54,87.69,348.61,485.77,1112.72,512.36,392.58,181.32,484.77,175.33,43.65,140.0,972.69,3536.34,7521.48,1424.12,485.77,32.9,57.5,30.4,0.1172,0.7492,352
St. Louis City,29510,48215,31013,17202,13967,15652,3849,12575,13,1664,1135.9,930,122,808,22,2,22,0,0,0.6432,0.2897,49274,14468,-0.0215,0.0818,71.0,0.5145,0.5922,0.3356,0.015,15182.63,13979.79,190921561.0,0.1765,302.8231,1908.3897,30128.22,0.2221,688.668,0.303,0.6801,5001.0338,0.0458,68.9463,1899.006,21071.83,0.0209,23.5388,0.0017,1.7495,0.0723,186.6402,1381.7893,4868.15,0.0273,28.1511,1795.3877,0.8585,15732.008,0.2288,1372.7237,0.7407,0.7008,0.0639,289.6223,0.1594,459.8012,5316.46,2589.49,119.75,965.2,615.84,76.19,351.9,348.95,1158.12,408.13,639.49,171.81,480.07,490.78,35.54,163.22,898.23,3735.16,9087.83,1657.23,348.95,59.42,72.57,16.8,0.1312,0.6826,-102
Clay,29047,48119,23103,25016,4298,19430,4634,20535,9,943,722.4,893,298,595,14,7,14,0,0,0.4801,0.0893,42205,15259,0.1401,0.2733,73.0,0.5674,0.9162,0.0239,0.0218,13362.5,13491.68,274398835.0,0.1616,259.6542,1196.6399,20941.57,0.1877,611.0543,0.3123,0.7139,5624.1052,0.0349,47.5773,1207.1098,18527.69,0.0286,33.6499,0.0008,0.8766,0.0758,192.4032,1524.0321,4846.63,0.041,43.6815,3332.5542,0.9314,15636.2795,0.2671,1908.8386,0.8551,0.8097,0.0224,98.9043,0.1207,222.1573,3384.71,3068.16,249.75,646.01,739.59,46.52,367.48,632.43,1059.22,512.47,321.43,211.13,424.28,172.44,12.47,96.17,1195.08,3591.09,7483.7,1432.12,632.43,45.96,37.18,21.8,0.3337,0.7661,135
Boone,29019,31952,15505,16447,3984,12621,3165,13795,9,807,657.4,642,125,517,13,6,13,0,0,0.4853,0.1247,27971,9408,0.1423,0.3415,72.0,0.5547,0.9016,0.0449,0.0095,10994.51,11143.27,151669226.0,0.1274,202.1747,1091.4824,23365.64,0.1761,530.0471,0.27,0.854,8435.9551,0.0402,52.8452,1357.7383,16140.1,0.01,11.3809,0.0014,1.5223,0.0401,85.0308,687.0605,3798.85,0.0249,25.8065,2127.0025,0.9085,12823.2693,0.2738,1633.7804,0.6916,0.7638,0.0782,339.6883,0.0196,41.1018,2977.66,2653.65,205.43,648.18,266.54,63.48,152.28,358.54,864.84,431.44,262.89,163.71,365.57,133.28,42.75,22.48,1227.39,3079.43,6423.94,978.2,358.54,50.87,52.09,19.7,0.1947,0.8146,26
Franklin,29071,27160,19615,7545,2901,9929,2463,6070,7,689,480.4,731,131,600,19,7,19,0,0,0.7222,0.1068,23173,8203,0.1721,0.2104,72.0,0.5254,0.9511,0.0079,0.0099,12532.33,12650.27,76071236.0,0.1595,248.7644,1144.4811,21724.44,0.1936,659.4728,0.3227,0.7259,5361.285,0.0372,49.5881,1257.6606,19001.49,0.0236,27.5124,,,0.0824,198.5173,1675.1236,4771.59,0.0364,37.8913,2754.6952,0.8956,12594.2339,0.2634,1748.9292,0.8249,0.7458,0.146,669.1928,0.1418,321.911,3464.46,2987.78,107.04,707.47,700.56,,393.05,500.05,929.82,434.99,327.87,152.21,343.27,240.36,101.25,150.48,795.57,3043.04,7385.11,1408.03,500.05,73.62,48.38,13.6,0.1792,0.6972,-206
Jasper,29097,26888,13369,13519,4865,10116,2501,11748,7,707,627.6,496,58,438,12,4,12,0,0,0.4972,0.1809,23708,8353,0.1341,0.2111,73.0,0.5537,0.9438,0.0081,0.0164,11208.15,11924.2,131673302.0,0.1545,239.1896,1135.7678,19779.61,0.183,616.6156,0.306,0.7926,7839.5472,0.0443,59.84,1498.9785,17253.24,0.0096,10.3847,,,0.0626,149.2169,1125.383,3810.86,0.0382,40.2622,3138.0661,0.9142,12405.2605,0.296,2003.5751,0.7801,0.7486,0.0744,366.7007,0.1169,248.8934,3055.84,2986.9,127.57,763.68,192.7,,238.42,513.5,863.18,404.63,341.24,148.26,489.17,153.97,48.99,103.3,611.29,2740.55,6832.21,956.38,513.5,49.03,62.04,20.4,0.1169,0.8877,39
