county,fips,enroll,ma,om,dual,a75,a85,ffs_benes,nh_fac,nh_bed,nh_res,sl_bed,mc_bed,alf_bed,alf_fac,mc_fac,sl_fac,pch_bed,pch_fac,ma_pct,dual_pct,enroll_p,a75_p,g5_enroll,g5_a75,avg_age,feml_pct,wht_pct,blk_pct,hsp_pct,pc,pc_std,tot_amt,ip_pct,ip_stays,ip_days,ip_per_user,readmit,er,er_pct,op_pct,op_visits,snf_pct,snf_stays,snf_days,snf_per_user,irf_pct,irf_stays,ltch_pct,ltch_stays,hh_pct,hh_eps,hh_visits,hh_per_user,hospc_pct,hospc_stays,hospc_days,em_pct,em_events,dme_pct,dme_events,tests_pct,imgng_pct,fqhc_pct,fqhc_visits,amblnc_pct,amblnc_events,pc_ip,pc_op,pc_asc,pc_snf,pc_irf,pc_ltch,pc_hh,pc_hospc,pc_em,pc_prcdrs,pc_tests,pc_imgng,pc_dme,pc_op_dlys,pc_fqhc_rhc,pc_amblnc,pc_trtmnts,home_pc,acute_pc,inst_pc,eol_pc,sl_per1k,nh_per1k,per_bed,mc_share,nh_occ,bed_gap
Wake,37183,186672,96941,89731,18790,76949,18661,71511,21,2174,1817.2,3634,1129,2505,122,29,122,0,0,0.5193,0.1007,150093,54282,0.2437,0.4176,73.0,0.5591,0.788,0.1123,0.0258,11531.89,11309.47,824656735.0,0.1307,202.5563,1148.5086,22523.23,0.1739,539.9309,0.2695,0.5153,2714.0859,0.0332,43.8394,1123.3517,17366.93,0.0053,5.8313,0.0007,0.7551,0.0752,190.2505,1311.8681,4760.1,0.0306,32.1909,2460.1949,0.932,15640.5728,0.2541,1436.4364,0.8396,0.7904,0.0169,74.8137,0.1334,301.1005,2944.58,2315.94,198.82,576.54,154.63,43.04,357.92,460.76,1141.13,559.93,328.07,285.02,509.07,173.85,9.98,123.17,1117.12,3748.31,6316.29,774.21,460.76,47.23,23.62,21.2,0.3107,0.8359,-308
Mecklenburg,37119,164729,89928,74801,26086,67078,16369,60206,29,2983,2399.8,3199,975,2224,70,26,70,0,0,0.5459,0.1584,142255,50681,0.158,0.3235,73.0,0.5627,0.7262,0.1757,0.0314,11985.76,11515.23,721614765.0,0.1331,206.8066,1218.9317,23936.84,0.1687,556.1738,0.28,0.5646,3195.1799,0.0319,42.2383,1069.2456,17698.23,0.0094,10.6136,0.0006,0.6478,0.076,203.983,1551.4567,5034.73,0.0308,31.6912,2360.4126,0.9224,15421.752,0.247,1423.197,0.8239,0.7715,0.0109,41.74,0.1179,248.9785,3186.62,2354.67,190.02,564.99,275.22,25.55,382.75,459.64,1177.15,485.08,346.22,229.68,491.02,239.85,5.62,96.65,1228.94,3861.38,6552.89,865.76,459.64,47.69,35.78,21.0,0.3048,0.8045,-300
Guilford,37081,110510,77125,33385,18280,45064,11445,25689,20,2284,1934.3,1709,492,1217,32,11,32,0,0,0.6979,0.1654,97463,35852,0.1339,0.2569,73.0,0.5492,0.7272,0.1913,0.0221,11354.08,11078.16,291675052.0,0.1313,200.4749,1041.146,23384.57,0.177,550.6248,0.2775,0.5789,3718.9459,0.0349,45.3501,1209.8953,17401.68,0.0069,7.3183,0.0012,1.4014,0.0727,211.5692,1487.2124,5107.63,0.0332,34.2559,2799.4862,0.9103,14389.0381,0.2519,1546.0703,0.8306,0.7574,0.0169,74.9348,0.1413,336.9536,3069.51,2302.22,195.95,607.63,174.74,78.04,371.21,519.21,1065.04,433.99,309.82,210.93,461.78,245.3,10.54,129.85,938.05,3367.37,6376.82,860.41,519.21,37.92,42.92,26.4,0.2879,0.8469,239
Forsyth,37067,84291,56710,27581,12900,33936,8598,22077,14,1477,1294.8,1989,483,1506,37,14,37,0,0,0.6728,0.153,73730,27112,0.1432,0.2517,72.0,0.5474,0.7819,0.1348,0.0264,12549.08,11793.38,277046139.0,0.1488,232.7762,1307.0616,25367.86,0.1784,570.9109,0.2795,0.7899,6791.3213,0.0309,40.4946,957.9653,16676.69,0.0149,16.986,0.0008,1.0418,0.0789,230.6473,1650.7225,5493.19,0.0324,33.6096,2118.7661,0.9192,15220.6822,0.261,1723.2414,0.7314,0.7776,0.0091,38.0486,0.1323,307.2881,3774.67,3062.47,176.4,515.17,400.61,59.16,433.19,439.42,1078.31,446.08,270.12,192.31,440.33,248.17,5.31,119.06,676.17,3095.74,7826.85,974.94,439.42,58.61,38.15,17.1,0.2428,0.8766,-522
Buncombe,37021,66866,32003,34864,8794,28682,6612,31068,19,1899,1533.4,1058,59,999,58,2,58,0,0,0.4786,0.1315,61739,22282,0.083,0.2872,73.0,0.5545,0.9115,0.0264,0.0138,10520.83,10594.28,326861227.0,0.124,190.936,981.2991,21279.49,0.1704,411.5489,0.2222,0.6372,3600.2317,0.035,47.8949,1359.6949,19070.68,0.0088,9.6241,0.0015,1.5128,0.0752,191.0648,1487.1572,4323.91,0.0265,27.2628,1728.7563,0.9122,14338.4511,0.2521,1712.051,0.8163,0.7666,0.1632,700.5601,0.1124,230.1403,2639.05,1544.49,245.05,666.63,215.71,68.76,324.98,316.63,1074.09,441.2,340.14,201.96,458.12,106.02,102.51,97.06,1475.65,3977.45,5072.87,951.1,316.63,36.89,53.46,27.1,0.0558,0.8075,182
Brunswick,37019,65955,28638,37317,3966,26395,4598,34076,5,564,474.3,410,198,212,6,5,6,0,0,0.4342,0.0601,50868,16717,0.2966,0.5789,73.0,0.5328,0.914,0.0347,0.0119,10658.1,10503.87,363185272.0,0.111,161.8441,822.6905,23167.19,0.1526,500.0587,0.258,0.7161,3943.8021,0.02,25.5312,602.1247,16411.55,0.0098,11.3276,0.0004,0.3815,0.06,167.4786,1205.1004,4793.16,0.0237,24.2986,1632.8501,0.9538,14592.5285,0.2543,1524.2693,0.8911,0.8558,0.1081,340.2688,0.1084,246.0676,2572.62,2486.65,264.98,327.5,259.26,14.82,287.51,314.73,1053.19,603.63,418.04,223.19,429.13,77.52,61.94,120.19,1058.49,3531.49,6125.59,601.58,314.73,15.53,17.97,64.4,0.4829,0.841,731
Cumberland,37051,60674,33679,26995,13708,20465,4949,23949,10,1029,918.2,814,169,645,17,4,17,0,0,0.5551,0.2259,54436,16961,0.1146,0.2066,72.0,0.5377,0.5553,0.3379,0.0489,11057.41,10790.0,264813835.0,0.1329,212.7437,1250.6994,25997.59,0.2038,584.7426,0.2764,0.5267,2936.6571,0.0313,42.5905,1229.8217,19450.32,0.0136,15.1155,0.0022,2.3383,0.0669,209.9879,1400.9353,5217.58,0.0297,31.9011,2531.7967,0.8654,15161.5516,0.2372,1508.5807,0.7735,0.7189,0.04,152.3237,0.1496,357.3427,3454.19,1752.17,125.65,609.12,300.53,73.39,348.8,431.49,1074.15,420.69,371.91,250.26,635.12,279.26,19.82,149.7,648.74,3348.8,6181.66,983.04,431.49,39.78,44.87,25.1,0.2076,0.8923,71
Durham,37063,55305,28321,26983,7196,22686,5246,21299,13,1412,1151.8,1163,351,812,44,7,44,0,0,0.5121,0.1301,48561,16804,0.1389,0.35,74.0,0.5814,0.6737,0.2304,0.0225,12269.06,11167.68,261318739.0,0.1275,202.7325,1296.6336,30765.26,0.1825,513.1227,0.249,0.6787,4284.0509,0.0374,49.2511,1511.7611,19807.8,0.004,4.4134,0.0008,0.939,0.0727,212.0287,1372.1301,5439.17,0.0286,30.0953,2276.1632,0.9246,16506.6435,0.2471,1354.6645,0.8114,0.7792,0.0255,81.647,0.1308,335.9313,3921.67,2613.22,121.95,741.2,113.86,54.5,395.57,440.58,1141.62,436.96,251.36,200.55,333.66,277.55,11.5,123.5,801.28,3135.54,7494.85,909.56,440.58,51.27,50.77,19.5,0.3018,0.8157,-182
New Hanover,37129,54162,23951,30211,5954,23260,5543,27629,11,977,896.6,763,201,562,8,7,8,0,0,0.4422,0.1099,47595,17643,0.138,0.3184,74.0,0.5529,0.8757,0.0706,0.0143,11747.3,11355.95,324566171.0,0.133,196.2069,1188.389,23070.57,0.151,547.9026,0.2695,0.5393,2874.7331,0.0368,48.2464,1180.1368,15890.62,0.0075,8.4332,,,0.0721,186.3983,1357.0524,4562.65,0.0316,32.7554,2039.5961,0.9508,16563.5383,0.2535,1509.718,0.9083,0.8373,0.0177,62.362,0.1498,373.0862,3067.84,2412.66,228.5,584.35,188.43,,328.79,408.7,1213.08,574.24,438.42,249.51,521.78,93.98,8.31,144.33,1140.38,3900.27,6521.55,772.78,408.7,32.8,38.55,30.5,0.2634,0.9177,242
Gaston,37071,49041,30661,18380,8554,18721,4321,15587,10,934,799.1,866,150,716,13,5,13,0,0,0.6252,0.1744,45279,15440,0.0831,0.2125,73.0,0.5566,0.8603,0.0859,0.0207,12630.8,12422.12,196876237.0,0.1677,273.3047,1493.2957,22030.81,0.1746,652.9159,0.3169,0.6338,3389.2346,0.0426,58.382,1585.6804,20459.43,0.0081,9.046,,,0.1011,362.1608,2717.3285,6477.33,0.034,34.3235,2377.7507,0.9117,15636.4278,0.2994,1988.0028,0.8464,0.7561,0.0547,244.8194,0.1583,349.8428,3694.65,2242.66,133.36,871.56,249.02,,654.92,462.17,1166.37,514.32,349.99,200.34,499.89,253.96,31.42,139.83,903.15,3806.08,6978.78,1120.58,462.17,46.26,42.68,21.6,0.1732,0.8556,-57
