county,fips,enroll,ma,om,dual,a75,a85,ffs_benes,nh_fac,nh_bed,nh_res,sl_bed,mc_bed,alf_bed,alf_fac,mc_fac,sl_fac,pch_bed,pch_fac,ma_pct,dual_pct,enroll_p,a75_p,g5_enroll,g5_a75,avg_age,feml_pct,wht_pct,blk_pct,hsp_pct,pc,pc_std,tot_amt,ip_pct,ip_stays,ip_days,ip_per_user,readmit,er,er_pct,op_pct,op_visits,snf_pct,snf_stays,snf_days,snf_per_user,irf_pct,irf_stays,ltch_pct,ltch_stays,hh_pct,hh_eps,hh_visits,hh_per_user,hospc_pct,hospc_stays,hospc_days,em_pct,em_events,dme_pct,dme_events,tests_pct,imgng_pct,fqhc_pct,fqhc_visits,amblnc_pct,amblnc_events,pc_ip,pc_op,pc_asc,pc_snf,pc_irf,pc_ltch,pc_hh,pc_hospc,pc_em,pc_prcdrs,pc_tests,pc_imgng,pc_dme,pc_op_dlys,pc_fqhc_rhc,pc_amblnc,pc_trtmnts,home_pc,acute_pc,inst_pc,eol_pc,sl_per1k,nh_per1k,per_bed,mc_share,nh_occ,bed_gap
Harris,48201,650590,391222,259368,99671,248585,57951,185604,97,11621,8125.4,11450,3195,8255,276,110,276,0,0,0.6013,0.1532,562967,193355,0.1556,0.2856,73.0,0.5443,0.6623,0.1201,0.1296,16513.9,15238.52,3065044987.0,0.1432,237.6888,1334.9281,32547.06,0.1925,573.6891,0.283,0.5911,4079.605,0.0257,35.4626,925.8206,20014.7,0.0259,32.1706,0.0029,3.2057,0.0888,420.8099,3533.3506,8724.78,0.0315,34.0941,2946.402,0.8737,18593.387,0.2446,1465.5234,0.8175,0.7438,0.013,55.2413,0.121,409.905,4659.25,2399.15,189.39,515.24,858.43,164.92,774.59,553.43,1527.69,609.58,532.28,462.64,1197.81,345.14,7.33,148.32,1361.64,5863.98,8350.83,1538.59,553.43,46.06,32.69,21.7,0.279,0.6992,-769
Dallas,48113,361018,194653,166365,53449,139212,34390,121940,81,10664,7100.7,6997,1901,5096,192,69,192,0,0,0.5392,0.1481,325213,114009,0.1101,0.2211,74.0,0.5521,0.6739,0.1424,0.1122,15464.9,14714.67,1885789851.0,0.1461,234.6482,1293.2754,28103.16,0.1847,570.1329,0.2771,0.5492,3240.9136,0.0348,47.8104,1359.111,20557.36,0.0279,34.3776,0.0021,2.2306,0.11,532.967,4008.414,8435.76,0.0358,38.3713,3605.3141,0.8932,18836.2965,0.2358,1400.41,0.8337,0.7597,0.0081,25.7176,0.1252,323.2163,4105.54,1721.28,224.23,715.82,865.56,101.51,927.56,666.02,1479.02,597.41,524.44,338.37,1000.15,333.5,3.54,123.99,1412.46,5685.54,7105.95,1682.89,666.02,50.26,51.01,19.9,0.2717,0.6659,-1016
Bexar,48029,335488,193802,141686,55355,130598,31927,111231,62,7679,5312.1,5177,1451,3726,148,43,148,0,0,0.5777,0.165,301645,104347,0.1122,0.2516,73.0,0.5434,0.5837,0.0757,0.2918,13340.57,13333.2,1483884687.0,0.1332,208.548,1074.0171,23888.21,0.1788,517.3917,0.2649,0.3942,1829.6968,0.0301,40.5822,1156.4852,18915.1,0.0284,35.7185,0.0032,3.668,0.0936,308.6729,2418.022,5548.44,0.0419,46.1112,4897.3488,0.8672,17008.6307,0.2291,1332.2006,0.7924,0.7203,0.0212,73.1091,0.1181,307.8998,3180.84,1003.27,282.15,569.0,792.44,131.74,519.22,816.49,1315.53,547.89,531.63,341.18,997.8,272.45,9.67,112.42,1619.67,5334.7,5399.02,1493.18,816.49,39.64,40.68,25.2,0.2803,0.6918,434
Tarrant,48439,318003,175699,142303,38752,123464,29372,105015,71,8956,6068.8,7395,2076,5319,144,65,144,0,0,0.5525,0.1219,279833,98174,0.1364,0.2576,73.0,0.545,0.7676,0.0895,0.0836,15140.47,14555.75,1589976299.0,0.153,249.7548,1255.2302,25560.09,0.1876,657.3537,0.3044,0.4915,2632.1478,0.0309,42.0416,1221.8635,21516.68,0.0317,38.8421,0.0016,1.6379,0.1044,423.6252,3533.4952,7479.99,0.0359,38.7183,3304.8517,0.9074,18647.1933,0.2471,1508.6226,0.8486,0.7743,0.0086,34.795,0.1333,303.3757,3910.62,1568.25,305.5,665.08,960.03,69.54,780.59,611.38,1458.34,653.19,576.48,372.73,819.23,302.1,5.01,127.98,1657.68,5670.06,6867.64,1694.65,611.38,59.9,49.15,16.7,0.2807,0.6776,-2090
Travis,48453,157653,75127,82526,15951,63010,14479,65240,28,3203,2558.8,4985,1215,3770,73,34,73,0,0,0.4765,0.1012,140609,46937,0.1212,0.3424,73.0,0.5357,0.7576,0.0558,0.1115,13269.48,12993.0,865700846.0,0.1286,197.9307,1005.9166,23975.01,0.1683,499.1416,0.261,0.4669,2481.5451,0.0253,33.5071,958.9516,19545.63,0.0249,30.1655,0.0016,1.7167,0.0957,359.0129,2518.2097,6690.55,0.0359,38.1974,3802.008,0.9058,16369.5279,0.2133,1250.5058,0.8429,0.7571,0.0346,151.5175,0.1118,243.1484,3082.87,1413.0,366.09,494.03,767.67,79.23,640.34,686.46,1310.91,598.28,487.19,328.58,646.99,167.16,23.44,102.85,1816.19,5253.64,5730.25,1340.93,686.46,79.11,40.61,12.6,0.2437,0.7989,-2278
Collin,48085,155600,66375,89224,12166,66389,15532,69501,22,2640,1933.2,4420,1763,2657,124,56,124,0,0,0.4266,0.0782,124598,47040,0.2488,0.4113,74.0,0.5581,0.7995,0.045,0.0437,14260.56,14293.12,991122969.0,0.143,225.5939,1085.2506,21878.09,0.1747,528.496,0.2739,0.5709,3438.7994,0.0252,34.5894,1007.079,21742.16,0.035,44.1432,0.0015,1.6259,0.1043,403.7496,3072.1428,7002.28,0.0325,35.165,3434.7707,0.9314,19827.0672,0.2575,1509.1006,0.8892,0.8098,0.0103,34.0858,0.1176,258.3416,3129.31,1723.46,318.03,546.83,1051.37,73.23,730.34,627.71,1536.16,674.92,581.17,404.53,636.43,158.72,4.41,101.63,1730.52,5623.56,6106.07,1671.43,627.71,66.58,29.12,15.0,0.3989,0.7323,-1568
El Paso,48141,151040,110431,40609,42903,58645,15757,28847,22,2585,1896.5,965,196,769,31,8,31,0,0,0.7311,0.2841,133333,49370,0.1328,0.1879,73.0,0.5242,0.3916,0.0509,0.5173,11620.84,11301.41,335226344.0,0.1272,205.3593,1092.3493,27027.76,0.1905,547.5786,0.2629,0.4,1798.1766,0.0282,38.7215,1245.2248,20673.22,0.0194,21.874,0.0018,2.0453,0.0969,454.5013,4104.3089,7113.95,0.0326,34.0417,3082.0883,0.7788,14509.0997,0.2134,1374.909,0.6883,0.6265,0.019,66.9394,0.1128,274.3786,3438.55,998.01,172.47,583.35,555.46,81.09,689.03,509.53,1086.14,394.1,446.18,300.01,600.29,309.98,8.27,106.16,1217.98,4347.9,5419.27,1219.9,509.53,16.45,32.34,60.8,0.2031,0.7337,1555
Denton,48121,131857,58775,73083,9786,53270,11495,56198,18,1957,1334.7,3586,1068,2518,109,41,109,0,0,0.4457,0.0742,103783,36573,0.2705,0.4565,73.0,0.557,0.8226,0.0461,0.0509,14009.73,13985.53,787318848.0,0.1411,221.7161,1053.5962,22771.1,0.1739,564.0592,0.2875,0.543,2912.1321,0.0243,33.1506,935.9408,20159.8,0.031,38.1152,0.0015,1.6549,0.1005,393.6617,3067.6181,7064.44,0.0354,38.2398,3673.9208,0.9262,18445.87,0.2567,1578.5437,0.8837,0.7924,0.0109,57.4576,0.1218,280.3125,3214.0,1699.68,286.97,490.38,900.36,64.79,709.99,671.36,1412.8,688.76,581.89,369.61,663.35,146.3,8.53,113.58,1731.34,5477.51,6149.29,1455.53,671.36,67.32,25.06,14.9,0.2978,0.682,-1297
Fort Bend,48157,131593,71911,59681,14976,50312,10357,43584,15,1512,1145.2,2936,1064,1872,92,32,92,0,0,0.5465,0.1138,100642,32328,0.3075,0.5563,73.0,0.5455,0.5714,0.132,0.0882,14968.51,14350.09,652387568.0,0.1296,213.9088,1095.0808,28775.17,0.1881,543.7316,0.2714,0.6261,4327.4137,0.0207,27.7395,739.308,20112.33,0.022,26.0417,0.0025,2.9139,0.0826,382.2504,3275.6516,8652.18,0.0274,30.2405,2697.0218,0.9071,17820.9205,0.259,1579.1116,0.8582,0.7716,0.0129,42.0797,0.1069,361.5547,3728.94,2440.55,200.16,417.16,690.44,163.51,714.46,500.49,1422.87,583.97,514.41,362.18,1223.96,273.87,5.79,129.08,1410.45,5654.12,7356.57,1271.11,500.49,58.36,22.76,17.1,0.3624,0.7574,-774
Hidalgo,48215,122965,93236,29729,46128,49207,12082,21317,22,2772,2169.7,378,132,246,16,4,16,0,0,0.7582,0.3751,107815,39734,0.1405,0.2384,73.0,0.5155,0.3485,0.0054,0.6216,13396.96,13313.13,285583060.0,0.1488,246.1416,1286.8133,27349.11,0.1998,623.2584,0.2956,0.5505,3330.5343,0.0299,40.3903,1296.4301,20840.92,0.0233,27.0676,0.0032,3.2369,0.0845,498.8038,4682.3193,9142.74,0.0377,41.1878,4029.6477,0.7957,16242.8578,0.2165,1378.3365,0.7174,0.6289,0.024,80.3115,0.1357,1048.3652,4068.3,1634.22,104.04,623.75,662.04,126.23,772.87,641.57,1245.32,435.38,368.73,218.57,611.5,465.29,10.76,270.37,801.28,4029.03,6977.6,1412.02,641.57,7.68,44.09,130.2,0.3492,0.7827,1736
